state,plate_title,plate_img,color_bg,text_color,visual_elements,category,rarity,layout_style,confidence_score,notes,source
AK,National Rifle Association,NRA-License-Plate-lg.png,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.65,Improved auto-classification with 65.0% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Navy,navy.png,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.63,Improved auto-classification with 63.0% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Pearl Harbor Survivor,Pearl Harbor Survivor.png,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.726,Improved auto-classification with 72.6% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Pioneers of Alaska,Pioneers-of-Alaska-plate.png,multicolor,dark_on_light,text_focused,historical,rare,text_focused,0.768,Improved auto-classification with 76.8% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,"Pro-Family, Pro-Choice",Pro-Family-Pro-Choice-Plate.png,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.566,Improved auto-classification with 56.6% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Purple Heart,Purple_Heart.png,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.515,Improved auto-classification with 51.5% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,PWS,PWS.png,blue,light_on_dark,text_focused,specialty_paid,uncommon,text_focused,0.579,Improved auto-classification with 57.9% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Standard Gold,blue-n-gold.png,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.565,Improved auto-classification with 56.5% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Support Our Troops,support.png,multicolor,dark_on_light,text_focused,cause_charity,rare,text_focused,0.513,Improved auto-classification with 51.3% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Supporting the Arts,art.jpg,red,light_on_dark,text_focused,cause_charity,rare,text_focused,0.486,Improved auto-classification with 48.6% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,UAA,UAA.png,black,light_on_dark,text_focused,specialty_paid,uncommon,text_focused,0.541,Improved auto-classification with 54.1% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,UAF,UAF.png,blue,light_on_dark,text_focused,specialty_paid,uncommon,text_focused,0.575,Improved auto-classification with 57.5% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,UAS,UAS.png,blue,light_on_dark,text_focused,specialty_paid,uncommon,text_focused,0.654,Improved auto-classification with 65.4% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Veterans Commemorative,Comm_Vet.png,multicolor,dark_on_light,text_focused,military,rare,text_focused,0.529,Improved auto-classification with 52.9% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AL,A Pink Breast Cancer Tag,APinkBreastCancerTagFightBreastCancerJoytoLife_tag_page.jpg,multicolor,dark_on_light,text_focused,cause_charity,rare,text_focused,0.617,Improved auto-classification with 61.7% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Active Reserve,LicensePlate_Military_ActiveReserve.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.461,Improved auto-classification with 46.1% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Ag Tag (Farming Feeds),190802_FarmingFeeds_tag_page.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.417,Improved auto-classification with 41.7% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Alabama A&M University,ALAAM2019_CollPlate_page.jpg,black,light_on_dark,text_focused,university,uncommon,text_focused,0.541,Improved auto-classification with 54.1% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Alabama Audubon,AL-Audubon-2022-passenger.jpg,red,light_on_dark,text_focused,specialty_paid,uncommon,text_focused,0.399,Improved auto-classification with 39.9% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Alabama Bicentennial,Alabama-Bicentennial-2022-1-scaled-1.jpg,white,dark_on_light,text_focused,historical,rare,text_focused,0.74,Improved auto-classification with 74.0% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Alabama Cattlemen,AL-Cattlemen-2022-approved-passenger.jpg,black,light_on_dark,text_focused,specialty_paid,uncommon,text_focused,0.49,Improved auto-classification with 49.0% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Alabama Forests,AlabamaForestsForever_tag_page.jpg,multicolor,dark_on_light,text_focused,environmental,rare,text_focused,0.422,Improved auto-classification with 42.2% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Alabama Gang,The-Alabama-Gang-2023.jpg,white,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.64,Improved auto-classification with 64.0% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Alabama Gold Star Family,Gold-Star-Family-2021-front.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.471,Improved auto-classification with 47.1% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Alabama Home Builders,190802_AlabamaHomeBuilders_tag_page.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.701,Improved auto-classification with 70.1% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Alabama Nurses Foundation,AL-Nurses-Foundation-2022.jpg,multicolor,dark_on_light,text_focused,professional,uncommon,text_focused,0.545,Improved auto-classification with 54.5% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Alabama Poultry Foundation,AL-Poultry-2022-passenger.jpg,white,dark_on_light,text_focused,cause_charity,rare,text_focused,0.715,Improved auto-classification with 71.5% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Alabama Space Tag,Alabama-Space-Tag-2020.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.435,Improved auto-classification with 43.5% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Alabama State Defense Force,LicensePlate_Military_ALStDefenseForce.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.689,Improved auto-classification with 68.9% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Alabama State University,ASU2019_CollPlate_page.jpg,black,light_on_dark,text_focused,university,uncommon,text_focused,0.418,Improved auto-classification with 41.8% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Alabama Tennis Foundation,Alabama-Tennis-Foundation-2023.jpg,multicolor,dark_on_light,text_focused,cause_charity,rare,text_focused,0.676,Improved auto-classification with 67.6% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Alabama Treasure Forest Association,AlabamaTreasureForest_tag_page.jpg,black,light_on_dark,text_focused,environmental,rare,text_focused,0.541,Improved auto-classification with 54.1% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Albertville City Schools Foundation,Albertville-City-Schools-Foundation-image.jpg,multicolor,dark_on_light,text_focused,university,uncommon,text_focused,0.612,Improved auto-classification with 61.2% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Alpha Kappa Alpha Sorority,AlphaKappaAlphaSorority_tag_page.jpg,red,light_on_dark,text_focused,specialty_paid,uncommon,text_focused,0.443,Improved auto-classification with 44.3% confidence,https://www.revenue.alabama.gov/license-plates/
AL,"Alpha Phi Alpha Fraternity, Inc",190802_AlphaPhiAlphaFraternity_tag_page.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.724,Improved auto-classification with 72.4% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Amateur Radio,200221_AmateurRadio2020_tag_page.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.606,Improved auto-classification with 60.6% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Apportioned,Apportioned-2027-scaled-1.jpg,white,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.683,Improved auto-classification with 68.3% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Armed Forces Retired US Air Force,US-ARMED-FORCES-RETIRED-AIR-FORCE.jpg,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.482,Improved auto-classification with 48.2% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Armed Forces Retired US Army,US-ARMED-FORCES-RETIRED-ARMY.jpg,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.471,Improved auto-classification with 47.1% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Armed Forces Retired US Coast Guard,US-ARMED-FORCES-RETIRED-COAST-GUARD.jpg,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.471,Improved auto-classification with 47.1% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Armed Forces Retired US Marine Corps,ARMED-FORCES-RETIRED-MARINE-CORP1.jpg,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.461,Improved auto-classification with 46.1% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Armed Forces Retired US National Guard,ARMED-FORCES-RETIRED-NATIONAL-GUARD_Page_1.jpg,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.458,Improved auto-classification with 45.8% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Armed Forces Retired US Navy,US-ARMED-FORCES-RETIRED-NAVY.jpg,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.456,Improved auto-classification with 45.6% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Athens State University,ATHENS2019_CollPlate_page.jpg,multicolor,dark_on_light,text_focused,university,uncommon,text_focused,0.454,Improved auto-classification with 45.4% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Atomic Nuked,Atomic-Veteran.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.48,Improved auto-classification with 48.0% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Auburn University,AuburnUniversity2020_CollPlate_page.jpg,multicolor,dark_on_light,text_focused,university,uncommon,text_focused,0.636,Improved auto-classification with 63.6% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Auburn University at Montgomery,AUM-2019.jpg,multicolor,dark_on_light,text_focused,university,uncommon,text_focused,0.431,Improved auto-classification with 43.1% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Autism Acceptance,AutismAcceptance_tag_page.jpg,blue,light_on_dark,text_focused,cause_charity,rare,text_focused,0.56,Improved auto-classification with 56.0% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Barber Vintage Motorsports Museum,Barber-Vintage-Motorsports-Museum-2022.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.49,Improved auto-classification with 49.0% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Battle of the Bulge,LIcensePlate_Military_BattleBulge.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.487,Improved auto-classification with 48.7% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Birmingham-Southern College,BirminghamSouthernCollege2019_CollPlate_page.jpg,black,light_on_dark,text_focused,sports,uncommon,text_focused,0.427,Improved auto-classification with 42.7% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Bishop State Community College,Bishop-State-Community-College.jpg,purple,light_on_dark,text_focused,sports,uncommon,text_focused,0.563,Improved auto-classification with 56.3% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Breast Cancer Research (UAB),BreastCancerResearch_tag_page.jpg,multicolor,dark_on_light,text_focused,cause_charity,rare,text_focused,0.443,Improved auto-classification with 44.3% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Bronze Star,LIcensePlate_Military_BronzeStar.jpg,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.52,Improved auto-classification with 52.0% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Bus,BUS.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.697,Improved auto-classification with 69.7% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Calhoun Community College,Calhoun-Community-College-2022-scaled-1.jpg,red,light_on_dark,text_focused,sports,uncommon,text_focused,0.503,Improved auto-classification with 50.3% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Children’s Trust Fund,Child-Abuse-and-Neglect-2023.jpg,white,dark_on_light,text_focused,cause_charity,rare,text_focused,0.686,Improved auto-classification with 68.6% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Choose Life/Support Adoption,ChooseLifeSupportAdoption2019_tag_page.jpg,multicolor,dark_on_light,text_focused,cause_charity,rare,text_focused,0.533,Improved auto-classification with 53.3% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Cold War Veteran,Cold-War-Veteran-2022-scaled-1.jpg,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.468,Improved auto-classification with 46.8% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Colon Cancer Awareness,Colon-Cancer-00000-scaled-1.jpg,multicolor,dark_on_light,text_focused,cause_charity,rare,text_focused,0.748,Improved auto-classification with 74.8% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Consular Official,CONSULAR-OFFICIAL-2022-zeros-300x148-1.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.736,Improved auto-classification with 73.6% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Cotton Module,190731_CottonModule_tag_page.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.771,Improved auto-classification with 77.1% confidence,https://www.revenue.alabama.gov/license-plates/
AL,County,LicensePlate_Governement_County.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.75,Improved auto-classification with 75.0% confidence,https://www.revenue.alabama.gov/license-plates/
AL,County Disability Access,LicensePlate_Governement_CountyDA.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.746,Improved auto-classification with 74.6% confidence,https://www.revenue.alabama.gov/license-plates/
AL,County Motorcycle,LicensePlate_Governement_CountyMC.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.615,Improved auto-classification with 61.5% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Curing Childhood Cancer,Curing-Childhood-Cancer-2021-front.jpg,multicolor,dark_on_light,text_focused,cause_charity,rare,text_focused,0.422,Improved auto-classification with 42.2% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Dealer,Dealer-2023-passenger-image.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.664,Improved auto-classification with 66.4% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Dealer Motorcycle,Dealer-2023-MC-image.jpg,white,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.766,Improved auto-classification with 76.6% confidence,https://www.revenue.alabama.gov/license-plates/
AL,"Delta Sigma Theta Sorority, Inc.",Delta-Sigma-Theta-Sorority-2022.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.498,Improved auto-classification with 49.8% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Desert Shield/Desert Storm,Desert-Storm-Shield.jpg,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.436,Improved auto-classification with 43.6% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Disabled Veteran US Air Force,DISABLED-VETERAN-AIR-FORCE.jpg,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.494,Improved auto-classification with 49.4% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Disabled Veteran US Army,DISABLED-VETERAN-ARMY.jpg,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.497,Improved auto-classification with 49.7% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Disabled Veteran US Coast Guard,DISABLED-VETERAN-COAST-GUARD.jpg,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.497,Improved auto-classification with 49.7% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Disabled Veteran US Marine Corps,DISABLED-VETERAN-MARINE-CORP.jpg,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.508,Improved auto-classification with 50.8% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Disabled Veteran US Merchant Marine,DISABLED-VETERAN-MERCHANT-MARINES.jpg,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.502,Improved auto-classification with 50.2% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Disabled Veteran US National Guard,DV-National-Guard-passenger-2022.jpg,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.407,Improved auto-classification with 40.7% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Disabled Veteran US Navy,DISABLED-VETERAN-NAVY.jpg,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.482,Improved auto-classification with 48.2% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Distinguished Flying Cross,Distinguished-Flying-Cross.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.497,Improved auto-classification with 49.7% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Don’t Tread on Me,Dont-Tread-on-Me-2020-1.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.549,Improved auto-classification with 54.9% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Donate Life Alabama,Donate-Life-00000-scaled-1.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.73,Improved auto-classification with 73.0% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Ducks Unlimited,AL-Ducks-Unlimited-2022.jpg,multicolor,dark_on_light,text_focused,sports,rare,text_focused,0.456,Improved auto-classification with 45.6% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Educator/Retired Educator,Educator-2023.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.562,Improved auto-classification with 56.2% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Emergency Medical Services,EMS.jpg,black,light_on_dark,text_focused,military,uncommon,text_focused,0.464,Improved auto-classification with 46.4% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Environmental,190802_Environmental_tag_page.jpg,red,light_on_dark,text_focused,environmental,rare,text_focused,0.399,Improved auto-classification with 39.9% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Farm,Farm-truck.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.683,Improved auto-classification with 68.3% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Faulkner University,FaulknerUniversity2019v2_CollPlate_page.jpg,multicolor,dark_on_light,text_focused,university,uncommon,text_focused,0.529,Improved auto-classification with 52.9% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Fighting Cystic Fibrosis,Cystic-Fibrosis-2023-1.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.616,Improved auto-classification with 61.6% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Firefighter,190802_Firefighter_tag_page.jpg,multicolor,dark_on_light,text_focused,professional,uncommon,text_focused,0.659,Improved auto-classification with 65.9% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Florida State University,Floriday-State-University-2021.jpg,multicolor,dark_on_light,text_focused,university,uncommon,text_focused,0.557,Improved auto-classification with 55.7% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Ford Racing,Ford-Racing-2023.jpg,white,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.688,Improved auto-classification with 68.8% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Forest Products,Forest-Product-Truck.jpg,multicolor,dark_on_light,text_focused,environmental,rare,text_focused,0.687,Improved auto-classification with 68.7% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Forever Wild,190802_ForeverWild_tag_page.jpg,blue,light_on_dark,text_focused,sports,uncommon,text_focused,0.407,Improved auto-classification with 40.7% confidence,https://www.revenue.alabama.gov/license-plates/
AL,FORT Fleet,Fleet-2022-2027-scaled-1.jpeg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.699,Improved auto-classification with 69.9% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Fraternal Order of Police,Fraternal-Order-of-Police-2023.jpg,multicolor,dark_on_light,text_focused,professional,uncommon,text_focused,0.426,Improved auto-classification with 42.6% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Freemason,Freemason-2022.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.594,Improved auto-classification with 59.4% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Freshwater Fishing,Freshwater-Fishing-2020-1.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.446,Improved auto-classification with 44.6% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Friends of Coal,Friends-of-Coal-2022.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.665,Improved auto-classification with 66.5% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Gadsden State Community College,Gadsden-State-Comm-scaled-1.jpg,multicolor,dark_on_light,text_focused,sports,uncommon,text_focused,0.412,Improved auto-classification with 41.2% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Global War on Terrorism,LIcensePlate_Military_GlobalWarTerrorism.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.473,Improved auto-classification with 47.3% confidence,https://www.revenue.alabama.gov/license-plates/
AL,God Bless America,LicensePlate_Specilaty_GodBlessAmerica2013.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.615,Improved auto-classification with 61.5% confidence,https://www.revenue.alabama.gov/license-plates/
AL,Government Loaned,LicensePlate_Governement_GovtLoaned.jpg,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.76,Improved auto-classification with 76.0% confidence,https://www.revenue.alabama.gov/license-plates/
AL,GYN Cancer Awareness,GYN-2020-2.jpg,multicolor,dark_on_light,text_focused,cause_charity,rare,text_focused,0.596,Improved auto-classification with 59.6% confidence,https://www.revenue.alabama.gov/license-plates/
